genus,base of range (Ma),top of range (Ma),collections,with abundances,geometric mean abundance
Cardiolophus,55.8,50.3,106,68,0.0425
Cardiomya,58.7,23.03,29,8,0.001
Cardiophorus,47.8,34,13,13,0.0092
Cardiospermum,50.3,33.9,11,4,0.0045
Cardita,66,23.03,71,6,0.0056
Carditamera,41.3,23.03,6,0,NaN
Carditella,61.6,28.1,4,3,0.0087
Cardites,48.6,37.2,1,0,NaN
Cardium,66,23.03,157,11,0.0086
Carduifolia,66,56,9,2,0.0272
Carebara,47.8,23.03,6,6,0.002
Caretta,55.8,48.6,1,0,NaN
Carex,28.1,23.03,6,0,NaN
Cariblattoides,50.3,46.2,7,7,0.1549
Caribosiren,28.4,23.03,2,1,1
Caricella,66,28.1,131,58,0.0041
Caricoidea,59.2,23.03,24,0,NaN
Caricoides,33.9,23.03,1,0,NaN
Carinacca,41.3,33.9,3,0,NaN
Carinaria,33.9,28.4,1,0,NaN
Carinastele,37.2,33.9,1,0,NaN
Carinocarcinus,33.9,28.4,1,0,NaN
Carlquistoxylon,66,56,1,0,NaN
Carmargomendesia,59,57,1,0,NaN
Carmelus,37.2,33.9,2,2,0.0018
Carmenelectra,47.8,41.3,4,4,0.178
Carneithyris,66,41.3,24,0,NaN
Carnilestes,66,61.7,5,0,NaN
Carodnia,57,56,4,1,0.2
Carolia,61.6,33.9,38,3,0.0045
Carolinacetus,41.3,38,1,1,1
Caroloameghinia,56,33.9,1,0,NaN
Carolocoutoia,58.7,48.6,1,0,NaN
Carolopaulacoutoia,59,57,1,0,NaN
Carpenteria,38,33.9,4,0,NaN
Carphoborus,47.8,41.3,2,2,0.0003
Carpilius,47.8,41.3,2,0,NaN
Carpinicarpus,28.1,23.03,5,0,NaN
Carpinus,59.2,23.03,32,0,NaN
Carpites,66,23.03,70,6,0.0163
Carpocanistrum,37.2,33.9,1,0,NaN
Carpocristes,61.7,48.6,5,0,NaN
Carpodaptes,58.7,56.8,22,1,0.0787
Carpolestes,58.7,55.8,30,2,0.0939
Carpolithes,56.8,28.4,13,3,0.0232
Carpolithus,59.2,23.03,83,8,0.0023
Carpomegodon,58.7,56.8,2,0,NaN
Carpophilus,37.2,33.9,1,1,0.0004
Carsidarina,34,34,5,5,0.044
Cartodere,47.8,41.3,1,1,0.0095
Cartorhynchites,28.4,23.03,1,1,0.1429
Carya,66,23.03,147,30,0.023
Caryapollenites,66,40.4,84,78,0.0133
Carychium,66,61.6,1,1,0.0001
Caryoborus,28.4,23.03,1,1,0.025
Caryocorbula,66,23.03,186,112,0.0199
Caryophyllaceae,48.6,33.9,1,0,NaN
Caryophyllia,66,25.2,106,22,0.0406
Caryosmilia,66,61.6,4,0,NaN
Caryosoma,47.8,41.3,1,1,0.0078
Caryotispermum,56,47.8,1,0,NaN
Casaleia,48.6,40.4,1,1,0.0045
Cascadilar,47.8,41.3,1,1,0.3333
Casidaria,41.3,38,1,0,NaN
Casieria,56,47.8,1,0,NaN
Caspiodontornis,28.1,23.03,1,1,1
Cassida,56,23.03,8,8,0.0353
Cassidaria,47.8,38,4,0,NaN
Cassidulina,47.8,23.03,8,0,NaN
Cassidulus,61.6,28.1,27,5,0.0327
Cassigerinella,33.9,23.03,1,0,NaN
Cassis,66,23.03,50,1,0.0029
Castacallista,33.9,28.1,1,0,NaN
Castalia,56,33.9,1,0,NaN
Castanaea,56,33.9,1,0,NaN
Castanea,66,23.03,21,3,0.0016
Castaneapollenites,66,56,1,1,0.0375
Castaneoidea,48.6,37.2,1,0,NaN
Castanopsis,38,,14,4,0.0065
Castor,33.3,26.3,6,0,NaN
Casurinidites,56,33.9,63,58,0.0165
Cataglyphoides,47.8,41.3,8,8,0.0044
Catalpa,33.9,28.4,3,0,NaN
Catapleura,66,56,1,1,1
Catapsydrax,59.2,23.03,4,0,NaN
Catenicella,33.9,28.1,1,0,NaN
Catobaris,37.2,33.9,1,1,0.0004
Catodontherium,47.8,33.9,16,4,0.0192
Catopamera,37.2,33.9,2,2,0.0007
Catopithecus,33.9,28.1,1,0,NaN
Catops,47.8,41.3,2,2,0.0175
Catopsalis,66,56.8,33,3,0.2811
Catopsylla,34,34,2,2,0.0014
Catopygus,59.2,56,1,0,NaN
Catostemma,33.9,23.03,6,0,NaN
Caucasina,48.6,37.2,1,0,NaN
Caudasinus,47.8,41.3,4,4,0.001
Caudites,28.4,23.03,1,0,NaN
Caulastrea,58.7,23.03,46,4,0.0304
Caulophilus,47.8,41.3,1,1,0.0031
Caussanelia,28.1,23.03,1,1,0.0556
Cavilabium,47.8,41.3,1,0,NaN
Cavilinga,66,28.1,11,9,0.0144
Caviliucina,28.1,23.03,1,0,NaN
Cavilucina,47.8,41.3,2,0,NaN
Cavolinia,28.4,23.03,2,0,NaN
Cavoscala,66,56,3,0,NaN
Caxtonia,56,47.8,1,0,NaN
Cayratia,48.6,37.2,1,0,NaN
Ceanothus,55.8,48.6,1,0,NaN
Cebochoerus,47.8,33.9,20,7,0.041
Cecidomyia,55.8,23.03,4,2,0.0052
Ceciliolemur,47.8,41.3,1,0,NaN
Cecilionycteris,47.8,41.3,1,0,NaN
Cedrela,55.8,28.4,15,4,0.0046
Cedrelospermum,48.6,28.4,25,9,0.023
Cedripites,66,33.9,8,8,0.0054
Cedrobaena,63.3,56.8,4,3,1
Cedrocherus,61.7,56.8,2,1,0.0028
Cedromus,37.2,26.3,16,0,NaN
Cedrus,37.2,23.03,2,0,NaN
Ceiba,41.3,33.9,6,0,NaN
Celantia,34,34,1,1,0.0126
Celastrus,46.2,33.9,7,4,0.0053
Celinapterix,58.7,55.8,1,1,1
Cellana,56,33.9,2,0,NaN
Cellaria,59.2,23.03,6,2,0.0825
Cellepora,66,61.6,1,1,0.0267
Celleporaria,47.8,28.1,32,13,0.0071
Celleporina,41.3,33.9,4,0,NaN
Celliforma,50.3,46.2,1,1,1
Celtipollenites,48.6,40.4,1,0,NaN
Celtis,58.7,33.3,69,23,0.0939
Cenattus,47.8,41.3,1,1,0.0082
Cenocimbex,59.2,56,1,1,0.1667
Cenotextricella,56,47.8,1,1,0.0022
Centalium,47.8,33.9,1,1,0.0025
Centetodon,55.8,24.8,155,13,0.053
Centimanomys,37.2,33.9,6,1,0.0213
Centracanthidarum,33.9,28.1,1,0,NaN
Centrinus,59.2,34,7,7,0.0073
Centroberys,38,33.9,1,1,0.0006
Centroberyx,66,28.1,15,9,0.0312
Centrobotrys,37.2,33.9,1,0,NaN
Centrogenys,47.8,41.3,1,0,NaN
Centron,37.2,33.9,1,1,0.0007
Centrophorus,56,33.9,7,4,0.0547
Centropomus,33.9,28.1,1,0,NaN
Centropristis,28.1,23.03,2,0,NaN
Centroselachus,66,55.8,4,4,0.0993
Centrosia,47.8,38,2,1,0.0394
Cepatia,48.6,37.2,16,2,0.0038
Cephalanthus,33.9,23.03,3,0,NaN
Cephalogale,33.9,28.4,1,0,NaN
Cephalomyrmex,37.2,33.9,1,1,0.0004
Cephalopone,48.6,40.4,2,2,0.0064
Cephalosphaera,47.8,41.3,1,1,0.0001
Cephalotaxus,48.6,23.03,8,0,NaN
Cephenothrips,47.8,41.3,2,2,0.0162
Ceramaster,28.1,23.03,2,0,NaN
Cerambycites,66,28.4,2,2,0.0309
Cerambyx,47.8,41.3,1,1,0.0009
Cerapterites,47.8,41.3,4,4,0.0034
Cerastoderma,58.7,55.8,6,0,NaN
Ceratia,61.6,41.3,2,0,NaN
Ceratina,37.2,33.9,1,0,NaN
Ceratinoptera,47.8,41.3,5,5,0.0005
Cerato,47.8,41.3,1,1,0.0002
Ceratobaeoides,47.8,41.3,2,2,0.0022
Ceratobulimina,47.8,28.1,12,0,NaN
Ceratocancris,55.8,48.6,1,0,NaN
Ceratoculicoides,47.8,41.3,1,1,0.0013
Ceratodus,58.7,56,2,0,NaN
Ceratolamarckina,66,61.7,1,0,NaN
Ceratopalpomyia,47.8,41.3,1,1,0.0027
Ceratophyllum,66,23.03,11,1,0.5714
Ceratopogon,47.8,23.03,72,72,0.004
Ceratoppia,47.8,41.3,1,0,NaN
Ceratospyris,56,41.3,6,0,NaN
Ceratosuchus,56.8,48.6,5,0,NaN
Ceratoteleia,47.8,41.3,4,3,0.0007
Ceratotrochus,66,23.03,21,3,1
Ceratozamia,33.9,28.4,2,0,NaN
Ceraturgus,37.2,33.9,1,0,NaN
Ceratus,47.8,41.3,1,1,0.0095
Cerba,56,33.9,1,0,NaN
Cerbera,56,33.9,1,0,NaN
Cerberorhaphidites,41.3,38,2,1,0.52
Cercamonius,37.2,33.9,1,0,NaN
Cerceris,28.1,23.03,1,1,0.0833
Cercidiella,28.1,23.03,1,1,0.006
Cercidiphyllites,56,33.9,7,7,0.0045
Cercidiphyllum,64.73,28.4,170,39,0.0975
Cercis,37.2,28.4,11,4,0.0024
Cercocarpus,37.2,33.9,8,7,0.0093
Cercopidium,61.6,59.2,1,1,0.5
Cercopis,50.3,23.03,7,7,0.0093
Cercopites,50.3,47.8,3,3,0.0229
Cercyon,56,47.8,1,1,0.0769
Ceriopora,66,47.8,9,0,NaN
Cerioporella,66,61.6,1,0,NaN
Cerithia,41.3,33.9,2,0,NaN
Cerithidea,48.6,23.03,32,25,0.0134
Cerithidium,28.1,23.03,3,0,NaN
Cerithiella,61.6,23.03,71,26,0.0014
Cerithioclava,33.9,28.4,1,0,NaN
Cerithioderma,47.8,23.03,7,1,0.0015
Cerithiopsis,61.6,23.03,75,30,0.0008
Cerithiscala,61.6,48.6,6,4,0.0104
Cerithium,66,23.03,219,44,0.0046
Cerithopsida,28.1,23.03,1,0,NaN
Cernaysia,59.2,56,1,0,NaN
Cernina,61.6,41.3,6,3,0.1315
Ceronnectes,41.3,38,1,1,0.5
Ceropalites,37.2,33.9,1,0,NaN
Ceropria,48.6,40.4,8,8,0.6102
Cerrejonemys,61.7,58.7,1,1,0.0054
Cerrejonisuchus,61.7,58.7,1,1,0.0215
Ceruchites,28.4,23.03,1,1,0.0009
Ceruchus,37.2,33.9,1,1,0.0189
Cestracion,66,33.9,2,0,NaN
Cestumcerithium,33.9,28.4,14,0,NaN
Cetorhinus,56,23.03,5,1,0.125
Cetotheriopsis,28.1,23.03,2,1,0.5
Cetotolites,28.1,23.03,3,0,NaN
Ceutholestes,56.8,55.8,3,1,0.0078
Ceutorhynchus,50.3,23.03,16,14,0.0097
Chaceon,47.8,41.3,1,0,NaN
Chacomylus,66,63.3,1,0,NaN
Chacopterygus,66,63.3,1,0,NaN
Chadrolagus,37.2,33.9,10,0,NaN
Chadronia,37.2,33.9,1,0,NaN
Chadronycteris,37.2,33.9,2,0,NaN
Chaetocladius,56,41.3,2,2,0.0092
Chaetohelomyza,47.8,41.3,1,1,0.0009
Chaetopleurophora,47.8,33.9,3,3,0.0102
Chaetoptelea,56.8,37.2,36,16,0.0317
Chaetosciara,47.8,41.3,1,1,0.0001
Chaititendipes,55.8,48.6,1,1,0.0054
Chalcis,37.2,33.9,5,5,0.0054
Chalcitiscus,28.1,23.03,1,1,0.1111
Chalcodermus,37.2,33.9,1,0,NaN
Chalcophora,28.1,23.03,1,0,NaN
Chalicomomys,55.8,50.3,3,0,NaN
Chalmydoselachus,55.8,48.6,1,0,NaN
Chalybion,37.2,33.9,1,1,0.0037
Chama,66,28.4,122,34,0.0084
Chamaecyparis,55.8,28.4,12,9,0.0297
Chamaedorea,66,56,1,0,NaN
Chamaelauxania,47.8,41.3,2,2,0.0033
Chambius,56,41.3,2,0,NaN
Chamelea,33.9,28.1,11,3,0.0227
Chamops,56.8,55.8,1,0,NaN
Champsosaurus,66,55.8,26,6,0.142
Chandlera,48.6,37.2,1,1,0.0119
Chaneya,50.3,33.9,2,0,NaN
Chanoides,47.8,41.3,2,0,NaN
Chaoborus,47.8,23.03,4,4,0.007
Chapattimys,48.6,41.3,10,0,NaN
Chapmanina,38,33.9,3,0,NaN
Chaprongictis,28.4,23.03,1,0,NaN
Chara,58.7,33.9,15,1,1
Charactosuchus,47.8,41.3,2,0,NaN
Charadreon,48.6,37.2,1,0,NaN
Charlesdowniea,38,33.9,2,0,NaN
Charonia,66,23.03,16,1,0.0091
Chascacocolius,48.6,47.8,2,0,NaN
Chasea,66,56,23,10,0.0548
Chasmatonotoides,56,47.8,2,2,0.0031
Chasmocarcinus,56,33.9,3,0,NaN
Chasmoclupea,33.9,28.1,1,0,NaN
Chataimulosia,59.2,47.8,1,0,NaN
Chathamithyris,55.8,53,1,0,NaN
Chattonia,41.3,38,1,0,NaN
Chauliodes,47.8,41.3,6,6,0.0057
Chauliognathus,37.2,33.9,2,2,0.0211
Cheilea,55.8,23.03,7,0,NaN
Cheilophis,66,56,2,0,NaN
Cheilopora,66,56,1,0,NaN
Cheiloporina,41.3,33.9,5,0,NaN
Cheilosia,47.8,23.03,19,18,0.0066
Cheilosialepta,47.8,41.3,1,1,0.0002
Cheilotrichia,47.8,34,22,21,0.0016
Cheiridium,47.8,41.3,3,3,0.0065
Cheirogaster,56,33.9,2,0,NaN
Cheiromachus,47.8,41.3,1,1,0.0016
Chejudocythere,37.2,33.9,1,1,0.0002
Chelicerinus,47.8,41.3,1,1,0.011
Chelicirrum,47.8,41.3,4,4,0.0031
Chelifer,47.8,41.3,1,0,NaN
Chelifera,47.8,41.3,1,1,0.0002
Chelignathus,47.8,41.3,2,2,0.0036
Chelipoda,47.8,41.3,1,1,0.0001
Chelisoficula,56,47.8,1,1,0.0044
Chelomophrynus,46.2,40.4,1,0,NaN
Chelonarium,37.2,33.9,1,1,0.0004
Chelone,47.8,28.1,10,0,NaN
Chelonia,66,23.03,4,0,NaN
Chelonibia,33.9,28.1,3,0,NaN
Chelonohelcon,47.8,41.3,1,1,0.0001
Chelonus,37.2,33.9,3,3,0.0017
Chelotia,55.8,53,1,0,NaN
Chelotriton,28.1,23.03,2,1,0.0615
Chelydropsis,28.4,23.03,2,0,NaN
Chelyopsis,33.9,28.4,3,0,NaN
Chemnitzia,37.2,33.9,1,0,NaN
Chenanisuchus,59.2,56,1,1,0.0588
Chenendopora,47.8,23.03,2,1,0.0606
Chenopodipollis,56,33.9,4,4,0.0042
Chenopus,55.8,28.4,3,0,NaN
Chenosciaritis,55.8,48.6,1,1,0.1667
Chevalierismilia,48.6,37.2,1,0,NaN
Chevallieria,61.6,59.2,1,0,NaN
Cheyletus,47.8,41.3,1,0,NaN
Chiasmolithus,61.6,33.9,8,0,NaN
Chibanycteris,31,31,1,0,NaN
Chicoreus,33.9,28.1,28,19,0.005
Chilacis,28.4,23.03,1,1,0.0009
Chilgatermes,27.23,27.23,1,1,1
Chilgatherium,28.1,23.03,1,0,NaN
Chilocorus,37.2,28.4,3,3,0.0056
Chilodonta,66,61.6,3,2,0.0003
Chiloguembelina,66,28.1,47,23,0.0256
Chilogumbelina,28.4,23.03,1,0,NaN
Chiloscyllium,47.8,33.9,4,1,0.0303
Chilostigma,55.8,50.3,2,0,NaN
Chimaera,56,28.4,3,0,NaN
Chimaeromyrma,47.8,41.3,1,1,0.0526
Chioglossa,28.4,23.03,1,0,NaN
Chionaemopsis,50.3,46.2,1,1,0.5
Chionanthus,56,33.9,3,0,NaN
Chione,59.2,23.03,35,7,0.0106
Chionopsis,33.9,23.03,32,0,NaN
Chipetaia,46.2,40.4,1,0,NaN
Chiralithes,41.3,28.4,3,0,NaN
Chiraluta,59.2,33.9,3,0,NaN
Chiridota,47.8,41.3,1,0,NaN
Chiridotites,47.8,41.3,1,0,NaN
Chiromyoides,58.7,56,23,2,0.0071
Chironomus,47.8,23.03,49,49,0.005
Chiropteridium,28.1,23.03,2,0,NaN
Chisternon,66,40.4,9,7,0.3008
Chiton,41.3,38,4,2,0.0024
Chlaenius,28.4,23.03,1,1,0.0526
Chlamydoselachus,66,55.8,2,2,0.0693
Chlamys,61.7,25.2,526,174,0.019
Chlidoniopsis,38,33.9,2,0,NaN
Chlinocephalus,66,23.03,1,0,NaN
Chlorida,59.2,56,1,1,0.0172
Chlorodema,47.8,41.3,1,1,0.0078
Chlorophora,38,33.9,1,0,NaN
Chlorophthalmidarum,61.6,59.2,1,1,0.0226
Chlorophthalmus,66,59.2,8,7,0.0203
Chlorops,28.1,23.03,2,1,0.04
Chlororhysis,55.8,50.3,3,0,NaN
Chlorostoma,37.2,33.9,1,0,NaN
Choctawius,55.8,50.3,3,0,NaN
Choeroclaenus,66,63.3,4,0,NaN
Choerodon,33.3,30.8,1,0,NaN
Choeromorus,41.3,38,2,0,NaN
Choeropotamus,41.3,33.9,18,7,0.0405
Choerospondias,56,47.8,1,0,NaN
Cholula,50.3,46.2,1,1,0.0139
Chomataster,66,61.6,1,0,NaN
Chomotriletes,55.8,37.2,6,6,0.076
Chondriovelum,59.2,47.8,1,0,NaN
Chonecetus,28.1,23.03,2,2,1
Chonelasma,66,53,1,0,NaN
Chopardia,59.2,56,1,1,0.0086
Choragus,50.3,23.03,2,2,0.011
Chorista,56,47.8,1,1,0.1071
Chorlakkia,47.8,41.3,2,1,0.25
Chorlakkichelys,47.8,41.3,1,0,NaN
Choroterpes,47.8,41.3,1,1,0.0009
Chorotingioites,48.6,40.4,1,1,1
Chorus,33.9,23.03,4,0,NaN
Chremylus,34,34,1,1,0.0027
Chriacus,66,50.3,127,28,0.0313
Chrisodomus,28.1,23.03,1,0,NaN
Chromoteleia,47.8,41.3,1,1,0.3333
Chronolestes,55.8,48.6,1,0,NaN
Chronoperates,61.7,56.8,1,0,NaN
Chrysalidina,56,41.3,1,0,NaN
Chrysallida,61.6,59.2,1,1,0.0001
Chrysalogonium,59.2,23.03,4,3,0.0127
Chrysemys,47.8,33.9,3,0,NaN
Chrysichthys,47.8,41.3,2,0,NaN
Chrysis,37.2,28.4,3,3,0.0057
Chrysobothris,37.2,33.9,4,4,0.0059
Chrysocardium,37.2,33.9,1,0,NaN
Chrysocetus,38,33.9,1,1,1
Chrysochloa,33.9,28.4,2,2,0.0059
Chrysodomus,66,23.03,4,0,NaN
Chrysogaster,37.2,33.9,1,1,0.0004
Chrysolepis,33.9,28.1,1,1,0.0173
Chrysomela,47.8,23.03,10,10,0.0119
Chrysomelites,61.6,41.3,9,9,0.0278
Chrysometata,47.8,41.3,1,1,0.001
Chrysophris,38,28.1,3,0,NaN
Chrysophyllum,55.8,23.03,3,0,NaN
Chrysopilus,47.8,23.03,4,3,0.0015
Chrysops,59.2,23.03,3,3,0.0122
Chrysothemis,47.8,41.3,1,1,0.0009
Chrysotriton,55.8,50.3,1,1,0.2
Chrysotus,47.8,23.03,5,5,0.0039
Chthonius,47.8,41.3,1,1,0.0213
Chulpasia,56,48.6,2,0,NaN
Chumashius,46.2,33.9,7,2,0.0079
Chungchienia,37.2,33.9,1,0,NaN
Churcheria,46.2,37.2,2,0,NaN
Cibicides,66,23.03,69,0,NaN
Cibicidina,48.6,37.2,2,0,NaN
Cibicidoides,66,23.03,39,20,0.0155
Cicada,37.2,33.9,2,2,0.1155
Cicadatra,28.1,23.03,2,2,0.0158
Cicadella,50.3,46.2,1,1,0.0093
Cicadellites,28.1,23.03,1,1,0.0196
Cicadula,50.3,46.2,1,1,0.0139
Cicatricosisporites,58.7,40.4,71,68,0.054
Cicatricososporites,48.6,37.2,7,7,0.006
Cicindelites,28.4,23.03,1,1,0.25
Cicindelopsis,50.3,46.2,1,1,0.0769
Cicones,34,34,1,1,0.0057
Cidarina,41.3,38,2,2,0.0231
Cidaris,66,23.03,58,2,0.0334
Ciliatocardium,55.8,23.03,17,0,NaN
Ciliopagurus,56,33.9,1,0,NaN
Cimbex,37.2,33.9,1,1,0.0909
Cimbrochrysa,56,47.8,1,1,1
Cimbrophlebia,51,49.43,6,6,0.0548
Cimexomys,66,63.3,19,1,0.0213
Cimolestes,66,56,9,2,0.126
Cimolodon,66,63.3,1,0,NaN
Cimomia,66,33.9,63,36,0.1866
Cimomita,61.6,59.2,1,0,NaN
Cimonia,66,61.6,1,0,NaN
Cinctipora,59.2,47.8,1,0,NaN
Cinetus,47.8,41.3,2,2,0.2182
Cingula,28.1,23.03,1,0,NaN
Cingulina,61.6,59.2,2,2,0.0001
Cinnamomophyllum,55.8,28.4,10,4,0.0291
Cinnamomum,63.3,23.03,41,3,0.1196
Cintux,59.2,56,1,1,0.1667
Cinulia,66,61.7,1,0,NaN
Cinygma,47.8,41.3,1,1,0.0263
Cipangopaludina,47.8,28.4,10,0,NaN
Cipangoplaudina,37.2,33.9,1,0,NaN
Ciplyella,66,61.6,2,2,0.0756
Circaea,33.9,28.1,1,0,NaN
Circaeus,47.8,41.3,1,1,0.0024
Circe,61.6,59.2,5,5,0.0003
Circopeltis,41.3,38,2,1,0.5
Circophyllia,61.7,23.03,20,1,0.0053
Circulus,66,23.03,19,5,0.0004
Cirostrema,37.2,33.9,2,0,NaN
Cirscochilus,41.3,38,3,0,NaN
Cirsochilus,58.7,38,9,8,0.036
Cirsonella,33.9,23.03,4,0,NaN
Cirsope,33.9,23.03,12,9,0.0005
Cirsotrema,66,25.2,67,26,0.0033
Cis,28.4,23.03,1,1,0.0035
Cisrcochilus,38,33.9,1,0,NaN
Cissites,66,50.3,4,2,0.2716
Cissus,66,28.4,42,2,0.0031
Cistelites,61.6,59.2,4,4,0.5946
Citharichthys,38,23.03,2,1,0.0018
Citharina,48.6,37.2,1,0,NaN
Citrispermum,56,47.8,1,0,NaN
Cixius,47.8,23.03,11,11,0.002
Cladangia,41.3,23.03,3,0,NaN
Cladiocarya,41.3,23.03,11,0,NaN
Cladium,28.1,23.03,6,0,NaN
Cladius,34,34,1,1,0.0057
Cladococcus,66,61.6,1,0,NaN
Cladocora,66,28.1,55,4,0.0111
Cladogramma,66,56,1,0,NaN
Cladoneura,37.2,33.9,3,3,0.0005
Cladopelma,47.8,41.3,1,1,0.0031
Cladophorites,28.4,23.03,1,0,NaN
Cladophyllia,66,56,1,0,NaN
Cladornis,33.9,23.03,1,0,NaN
Cladrastis,50.3,28.4,23,15,0.0145
Cladura,37.2,33.9,3,3,0.0012
Claibornichthys,48.6,37.2,3,0,NaN
Claibornites,59.2,28.1,12,1,0.0189
Clanculus,61.6,28.1,3,0,NaN
Clarumreddera,47.8,41.3,2,2,0.0011
Classopollis,66,56,1,1,0.0063
Clastoptera,37.2,33.9,1,1,0.0004
Clathrocyclas,66,59.2,13,11,0.0085
Clathrocycloma,58.7,55.8,1,0,NaN
Clathrodrillia,37.2,33.9,1,0,NaN
Clathurella,33.9,28.1,1,1,0.002
Clatrofenella,28.1,23.03,2,0,NaN
Clausilia,66,38,3,0,NaN
Clausinella,48.6,37.2,1,0,NaN
Clava,66,28.4,23,10,0.0013
Clavagella,66,23.03,10,6,0.0017
Clavalithes,41.3,38,2,0,NaN
Clavamonocolpites,48.6,37.2,3,3,0.0079
Clavatisporites,58.7,37.2,2,2,0.0155
Clavatricolpites,55.8,37.2,17,17,0.0174
Clavatula,41.3,23.03,6,0,NaN
Clavella,61.6,59.2,1,1,0
Clavellofusus,28.1,23.03,1,1,0.08
Clavibertus,47.8,41.3,4,4,0.0077
Clavicornius,55.8,48.6,1,1,0.0238
Clavidrupa,33.9,28.1,2,1,0.0179
Clavilithes,61.6,28.1,174,43,0.0044
Clavimyiomma,47.8,41.3,1,1,0.0013
Clavipetiola,55.8,48.6,1,1,0.0119
Clavipholas,55.8,33.9,3,0,NaN
Clavolithes,33.9,28.4,1,0,NaN
Clavulina,38,23.03,2,0,NaN
Clavulinoides,66,47.8,6,4,0.0089
Clavus,48.6,28.1,46,3,0.0046
Claytonia,41.3,38,2,2,0.0243
Cleidopus,28.4,23.03,1,0,NaN
Cleistosphaeridium,41.3,23.03,2,0,NaN
Clematina,28.4,23.03,2,2,0.0043
Clementia,55.8,23.03,59,6,0.0418
Clemmys,33.9,23.03,1,0,NaN
Cleome,28.1,23.03,1,0,NaN
Cleonus,37.2,23.03,24,23,0.0105
Cleopatrodon,33.9,28.1,2,0,NaN
Clerolamna,41.3,38,1,0,NaN
Clethra,41.3,38,1,0,NaN
Cletocythereis,37.2,33.9,1,1,0.006
Cleyera,48.6,37.2,14,1,0.0087
Clidicus,47.8,41.3,1,1,0.0317
Climaciella,33.9,28.1,1,1,0.5
Clinocardium,56,23.03,21,1,0.0266
Clinocentrus,47.8,23.03,7,7,0.0001
Clinocythereis,37.2,33.9,1,1,0.0025
Clinopternodus,37.2,33.9,1,0,NaN
Clinura,61.6,59.2,2,0,NaN
Clinuropsis,61.6,61.6,4,2,0.003
Clio,47.8,23.03,8,7,0.0016
Cliona,59.2,28.4,4,1,0.003
Clisocolus,66,56,1,0,NaN
Clithon,66,28.1,2,1,0.0014
Clithrocytheridea,55.8,28.4,33,0,NaN
Clivoluturris,41.3,38,1,0,NaN
Clivuloturris,38,33.9,2,0,NaN
Clodionus,56,47.8,1,1,0.0022
Clonosmilia,28.1,23.03,1,0,NaN
Closia,47.8,37.2,76,57,0.0034
Closterocoris,37.2,33.9,1,1,0.0029
Clostes,47.8,41.3,8,8,0.0063
Clubiona,47.8,33.9,17,17,0.002
Clubionella,28.1,23.03,1,1,0.006
Clupea,33.9,28.1,6,0,NaN
Clupeidarum,61.6,28.1,4,2,0.0017
Clusiodes,28.4,23.03,1,0,NaN
Cluthia,37.2,33.9,1,1,0.0012
Clya,47.8,41.3,27,27,0.0041
Clypeaster,41.3,23.03,45,7,0.1136
Clypeina,66,56,5,0,NaN
Clypidina,66,61.6,1,0,NaN
Clythia,47.8,41.3,4,4,0.0012
Clythrina,59.2,56,1,1,0.0086
Clytus,50.3,23.03,3,3,0.0264
Cnemidaria,55.8,50.3,27,9,0.0239
Cnestocythere,33.9,23.03,1,0,NaN
Coalingodea,48.6,37.2,1,0,NaN
Cobaloscelio,47.8,41.3,3,3,0.0598
Cobitis,28.4,23.03,1,0,NaN
Cocaia,41.3,38,1,0,NaN
Cocatherium,66,61.6,1,0,NaN
Coccinella,37.2,23.03,8,8,0.0064
Coccodentalium,47.8,41.3,1,1,0.0159
Coccolithus,66,28.1,11,0,NaN
Coccothrips,34,34,2,2,0.0229
Coccotorus,37.2,33.9,2,2,0.0007
Cocculina,59.2,23.03,2,1,0.0009
Cocculus,66,37.2,21,14,0.1771
Cochlefusia,55.8,48.6,1,1,0.0027
Cochlespira,66,28.1,65,34,0.005
Cochlespirella,47.8,38,8,5,0.0025
Cochlespiropsis,56,38,3,0,NaN
Cochlodesma,55.8,23.03,11,2,0.0005
Cochlospermaceae,66,59.2,2,2,0.0439
Cochlospermum,52.22,52.22,1,1,0.001
Cochlostoma,41.3,38,1,0,NaN
Cockburnia,56,47.8,4,0,NaN
Cocoaia,28.4,23.03,1,0,NaN
Cocomys,55.8,48.6,1,0,NaN
Codakia,66,28.4,5,0,NaN
Coelidia,55.8,48.6,2,2,0.0769
Coeliodes,37.2,23.03,3,3,0.0104
Coelocassida,66,56,1,1,0.0556
Coelodontomys,33.9,28.4,2,0,NaN
Coeloma,33.9,28.4,1,0,NaN
Coelopleurus,66,38,14,0,NaN
Coeloreuteus,47.8,41.3,2,2,0.0001
Coelorhinchus,48.6,37.2,1,0,NaN
Coelorhynchus,61.6,23.03,5,4,0.071
Coelosia,47.8,41.3,1,1,0.0003
Coelosmilia,66,61.6,3,0,NaN
Coelotanypus,56,41.3,3,3,0.038
Coemansia,66,61.6,1,1,0.0006
Coenocyathus,37.2,33.9,1,0,NaN
Colaspis,37.2,33.9,3,3,0.0008
Colaspoides,47.8,41.3,1,1,0.0042
Colastes,37.2,33.9,1,1,0.013
Colastus,34,34,1,1,0.0057
Colbertia,58.7,33.9,4,0,NaN
Coleocentrus,34,34,1,1,0.0062
Colhueconus,48,42,1,0,NaN
Coliates,28.1,23.03,1,1,0.1
Colina,41.3,38,2,0,NaN
Collacteus,47.8,41.3,1,1,0.0041
Collarhamphus,47.8,41.3,1,1,0.0031
